"id","unemployment_percentage","year","district_code"
"95","4.3125560897435897","2016",3602
"96","2.9247705314009662","2019",3206
"97","3.2562570621468927","2022",3505
"98","2.1269575471698113","2020",3303
"99","2.8959444444444444","2022",3601
"100","2.2556622023809524","2019",3307
"101","3.9260964912280702","2018",3409
"102","2.6034599156118143","2022",3708
"103","7.2049038461538462","2016",3502
"104","2.2045780590717300","2020",3210
"105","3.1046744791666667","2018",3608
"106","6.0988461538461538","2016",3809
"107","3.1177519379844961","2019",3208
"108","3.0064285714285714","2019",3704
"109","3.4530263157894737","2020",3401
"110","6.9890151515151515","2016",3503
"111","3.8376068376068376","2020",3809
"112","3.1587500000000000","2016",3201
"113","3.3491666666666667","2021",9999
"114","2.9357386363636364","2022",3205
"115","2.0850000000000000","2018",9999
"116","3.4735000000000000","2023",3808
"117","2.2525773195876289","2021",3709
"118","2.9659151785714286","2023",3606
"119","2.8040312500000000","2021",3712
"120","2.4038811728395062","2022",3603
"121","2.9528280141843972","2021",3404
"122","3.6628381642512077","2022",3206
"123","3.3681730769230769","2019",3508
"124","1.6105833333333333","2020",3607
"125","3.4442317708333333","2020",3608
"126","5.4646590909090909","2016",3205
"127","4.9337152777777778","2019",3811
"128","3.2607962962962963","2020",3204
"129","3.0278376436781609","2018",3609
"130","2.3223461538461538","2020",3306
"131","3.6830000000000000","2022",3203
"132","3.6367559523809524","2022",3403
"133","1.5177222222222222","2018",3405
"134","2.8388970588235294","2020",3408
"135","3.4704591836734694","2023",3407
"136","4.2950154320987654","2016",3603
"137","6.8683333333333333","2016",3702
"138","6.4871019900497512","2021",3801
"139","1.2748645833333333","2019",3607
"140","1.5556805555555556","2022",3304
"141","2.1234895833333333","2019",3712
"142","3.3739444444444444","2022",3204
"143","3.9747756410256410","2020",3508
"144","2.7164795918367347","2018",3805
"145","5.1732619047619048","2022",3507
"146","1.9291666666666667","2019",9999
"147","3.8689215686274510","2023",3410
"148","2.4634626436781609","2019",3609
"149","4.1799127906976744","2021",3208
"150","3.3618125000000000","2018",3211
"151","2.9417640692640693","2021",3806
"152","1.8237777777777778","2022",3405
"153","9.0818402777777778","2016",3811
"154","3.2557894736842105","2021",3501
"155","3.6527536231884058","2022",3510
"156","5.6962152777777778","2016",3601
"157","3.2428160919540230","2023",3714
"158","5.6802966101694915","2016",3810
"159","3.2843174603174603","2022",3808
"160","2.1040686274509804","2019",3202
"161","3.1579094827586207","2022",3701
"162","4.1734751773049645","2020",3302
"163","5.2132692307692308","2023",3502
"164","3.8204444444444444","2016",3305
"165","2.1149019607843137","2019",3408
"166","5.3273880597014925","2019",3801
"167","2.8356207482993197","2020",3805
"168","1.8885220125786164","2018",3303
"169","2.8504427083333333","2019",3608
"170","3.3774637681159420","2020",3510
"171","1.9670791245791246","2018",3406
"172","3.2108143939393939","2020",3205
"173","5.6138577586206897","2016",3609
"174","1.6319275362318841","2018",3611
"175","1.9215934065934066","2023",3705
"176","3.2759126984126984","2021",3704
"177","2.6019000000000000","2022",3305
"178","3.4913071895424837","2018",3410
"179","5.5144491525423729","2016",3505
"180","2.4957589285714286","2019",3403
"181","3.6033012820512821","2019",3502
"182","6.1648134328358209","2020",3801
"183","1.7315625000000000","2018",3304
"184","3.8108333333333333","2016",9999
"185","3.7938418079096045","2021",3505
"186","3.0342307692307692","2018",3807
"187","3.2326004016064257","2020",3212
"188","2.7698611111111111","2018",3601
"189","3.4054819277108434","2023",3212
"190","2.4236111111111111","2018",3605
"191","8.2975980392156863","2016",3803
