"district_code","person_count","year"
3609,"104495",2014
3201,"95445",2011
3501,"102267",2003
3703,"200909",2009
3502,"130787",2016
3605,"112219",2004
3208,"101539",2020
3810,"145065",2008
3807,"325640",2014
3501,"104278",2010
3403,"117297",2013
3206,"95275",2003
9999,"1294513",2017
3510,"118633",2005
3206,"95943",2006
3208,"98703",2017
3508,"108116",2022
3501,"101962",2021
3212,"52378",2001
3603,"104395",2010
3504,"89781",2002
3703,"181960",2000
3401,"52810",2004
3206,"94976",2000
3203,"151794",2003
3408,"48966",2018
3504,"92063",2019
3805,"234344",2017
3204,"102774",2019
3510,"118839",2022
3703,"224642",2019
3703,"222370",2018
3706,"157711",2005
3209,"141216",2009
3806,"177133",2009
3305,"70590",2009
3406,"70046",2019
3811,"38659",2017
3208,"80893",2000
3611,"137840",2006
3705,"193780",2007
3802,"209377",2003
3506,"114953",2003
3304,"72143",2017
3711,"142830",2015
3608,"73031",2012
3709,"109429",2005
3302,"59941",2003
3208,"95841",2013
3207,"124470",2012
3404,"87629",2005
3207,"127776",2017
3402,"93112",2005
3409,"91301",2012
3509,"126130",2001
3606,"169836",2015
3805,"232267",2012
9999,"1257158",2010
3808,"134181",2004
3407,"69014",2001
3702,"382405",2020
3405,"180799",2007
3407,"79278",2018
3701,"108545",2017
3607,"79169",2012
3811,"42251",2002
3204,"99746",2016
3405,"185125",2008
3205,"78072",2022
3503,"124035",2022
3714,"117931",2017
3603,"103746",2021
3607,"79042",2007
3307,"70653",2014
3506,"119250",2011
3601,"94612",2020
3704,"115906",2018
3606,"166519",2008
3804,"151957",2006
3807,"317322",2020
3601,"94486",2017
3707,"112649",2016
3408,"49349",2019
3206,"108352",2018
3408,"48770",2021
9999,"1233211",2008
3810,"145029",2005
3803,"258340",2013
3707,"109679",2002
3211,"112545",2010
3302,"61110",2014
3708,"106294",2015
3803,"277538",2004
3602,"162820",2011
3209,"159765",2013
3509,"124472",2021
3610,"119351",2014
3508,"117000",2001
3212,"52656",2004
3402,"92211",2013
3803,"247887",2018
3405,"187245",2014
